budgets,revenues
"
Budget:$29,000,000
            (estimated)
","
Gross USA: $16,003,576, 31 August 2003
"
"
Opening Weekend USA: $3,342,696,
11 September 2016, Wide Release
","
Production Co:
 Illuminata Pictures, StudioCanal, nWave Pictures 
See more »
      
"
"
Opening Weekend: €1,340,061
            (Italy),
2 March 2003, Limited Release
","
Gross USA: $541,682, 10 October 2004
"
"
Production Co:
 Nordisk Tonefilm International, Kinostudiya imeni M. Gorkogo, Norway Film Development 
See more »
      
","
Runtime:
99 min
"
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $34,956, 7 July 2013
"
"
Budget:$95,000,000
            (estimated)
","
Gross USA: $17,223,265
        "
"
Budget:$9,000,000
            (estimated)
","
Gross USA: $33,244,684
        "
"
Production Co:
 Ardican Films, Beacon Communications, Beacon Pictures 
See more »
      
","
Runtime:
97 min
"
"
Opening Weekend USA: $3,304,679,
1 August 1982, Limited Release
","
Production Co:
 Lorimar Film Entertainment, Paramount Pictures 
See more »
      
"
"
Budget:$42,000,000
            (estimated)
","
Gross USA: $45,825,314, 14 July 2017
"
"
Budget:$5,600,000
            (estimated)
","
Opening Weekend USA: $8,191,
11 July 2010, Limited Release
"
"
Budget:$17,000,000
            (estimated)
","
Gross USA: $41,081, 30 March 2012
"
"
Budget:$14,000,000
            (estimated)
","
Gross USA: $46,800,000
        "
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $22,717,758, 9 August 1998
"
"
Opening Weekend USA: $22,518,295,
11 November 2001, Wide Release
","
Cumulative Worldwide Gross: $141,069,860, 1 September 2012
"
"
Budget:$62,000,000
            (estimated)
","
Production Co:
 Universal Pictures, Castle Rock Entertainment, Wildwood Enterprises 
See more »
      
"
"
Opening Weekend USA: $11,412,213,
7 October 2012, Wide Release
","
Cumulative Worldwide Gross: $81,491,068
        "
"
Opening Weekend USA: $5,200,000,
2 August 1987, Wide Release
","
Production Co:
 Warner Bros. 
See more »
      
"
"
Opening Weekend USA: $3,046,924,
30 July 2006, Limited Release
","
Cumulative Worldwide Gross: $39,215,642, 28 September 2006
"
"
Opening Weekend USA: $7,022,970,
2 June 1985
","
Cumulative Worldwide Gross: $59,612,888
        "
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $26,627,201
        "
"
Opening Weekend USA: $21,373,064,
24 July 2016, Wide Release
","
Cumulative Worldwide Gross: $408,579,038
        "
"
Opening Weekend USA: $16,712,407,
8 April 2001, Wide Release
","
Cumulative Worldwide Gross: $105,178,561
        "
"
Budget:$220,000,000
            (estimated)
","
Gross USA: $623,357,910
        "
"
Budget:$75,000,000
            (estimated)
","
Gross USA: $14,010,690, 14 March 1999
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Mono
| DTS
(re-mastered version)| Dolby
(5.1)    "
"
Budget:$2,600,000
            (estimated)
","
Gross USA: $2,850,263
        "
"
Budget:$4,300,000
            (estimated)
","
Gross USA: $126,737,428
        "
"
Opening Weekend USA: $15,972,
25 December 2016, Limited Release
","
Cumulative Worldwide Gross: $1,390,172, 19 March 2017
"
"
Budget:$100,000,000
            (estimated)
","
Gross USA: $75,976,178, 16 June 2005
"
"
Budget:$2,000,000
            (estimated)
","
Gross USA: $11,533,945, 21 May 2000
"
"
  Show more on
  IMDbPro »
  ","
Color:
Color
"
"
Budget:$26,000,000
            (estimated)
","
Cumulative Worldwide Gross: $36,800,000
        "
"
  Show more on
  IMDbPro »
  ","
Trivia
    The sound that Palkia makes in this film is derived from the sound of Boga the Varactyl from Star Wars: Episode III - Revenge of the Sith (2005). Here, it is also mixed with sounds that Godzilla (Gojira (1954)) and King Ghidorah (Ghidorah, the Three-Headed Monster (1964)) make.        See more  »
    "
"
Budget:$22,000,000
            (estimated)
","
Gross USA: $11,326,836, 2 February 2014
"
"
Cumulative Worldwide Gross: $30,059,000
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $28,649,
7 April 2013, Limited Release
","
Production Co:
 erbp 
See more »
      
"
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $57,598,247, 3 October 1999
"
"
  Show more on
  IMDbPro »
  ","
Color:
 Black and White
"
"
Budget:$19,000,000
            (estimated)
","
Gross USA: $8,247,943
        "
"
Budget:$950,000
            (estimated)
","
Gross USA: $1,024,560, 16 November 2017
"
"
Opening Weekend USA: $8,163,
22 March 2015, Limited Release
","
Production Co:
 Armory Films, BenderSpink, Canal+ 
See more »
      
"
"
Budget:$12,000,000
            (estimated)
","
Gross USA: $84,500,122
        "
"
Production Co:
 August Entertainment, Castleberg Productions, Paribas Film Corparation 
See more »
      
","
Runtime:
86 min
"
"
Opening Weekend USA: $71,203,
2 October 2016, Limited Release
","
Cumulative Worldwide Gross: $1,751,330, 4 December 2016
"
"
Opening Weekend USA: $24,432,195,
2 May 2004, Wide Release
","
Cumulative Worldwide Gross: $129,042,871
        "
"
Budget:€300,000
            (estimated)
","
Gross USA: $146,135, 3 August 2014
"
"
Gross USA: $9,250,000
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$150,000,000
            (estimated)
","
Gross USA: $319,071,806
        "
"
Production Co:
 Joseph E. Levine Productions 
See more »
      
","
Runtime:
175 min
|
160 min
            (DVD)
    "
"
Budget:£3,800,000
            (estimated)
","
Opening Weekend USA: $13,490,
7 September 2008, Limited Release
"
"
Opening Weekend USA: $5,469,415,
31 July 1983
","
Production Co:
 Columbia Pictures, Barclays Mercantile Industrial Finance 
See more »
      
"
"
Opening Weekend USA: $141,340,
5 June 2011, Limited Release
","
Cumulative Worldwide Gross: $14,311,701, 27 February 2012
"
"
Budget:$1,750,211
            (estimated)
","
Gross USA: $1,523,883, 2 October 2005
"
"
Production Co:
 Simmian, Showbox/Mediaplex, 51k 
See more »
      
","
Runtime:
96 min
"
"
Budget:$90,000,000
            (estimated)
","
Gross USA: $68,559,554
        "
"
Budget:$32,000,000
            (estimated)
","
Gross USA: $54,712,227
        "
"
Opening Weekend USA: $608,804,
19 March 2006, Limited Release
","
Cumulative Worldwide Gross: $2,636,637, 2 October 2012
"
"
Runtime:
94 min
","
Color:
 Black and White
"
"
Gross USA: $31,063,038
        ","
  Show more on
  IMDbPro »
  "
"
Gross USA: $2,119,994
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$30,000,000
            (estimated)
","
Production Co:
 Walt Disney Pictures, Caravan Pictures, Wolfgang Odelga Filmproduktion GmbH 
See more »
      
"
"
Budget:$16,000,000
            (estimated)
","
Production Co:
 China Film Co-Production Corporation, Huayi Brothers Media, MK Pictures 
See more »
      
"
"
Production Co:
 Twentieth Century Fox 
See more »
      
","
Runtime:
92 min
"
"
Budget:$10,000,000
            (estimated)
","
Gross USA: $29,703,843, 6 November 2016
"
"
Budget:$3,250,000
            (estimated)
","
Gross USA: $48,895, 27 September 2009
"
"
Budget:$4,000,000
            (estimated)
","
Gross USA: $87,404,651
        "
"
Gross USA: $10,600,000
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $17,010,125,
15 April 2012, Wide Release
","
Cumulative Worldwide Gross: $54,819,301
        "
"
Opening Weekend USA: $180,801,
20 April 2014, Limited Release
","
Production Co:
 Antidote Films (I), Covert Media 
See more »
      
"
"
Runtime:
91 min
","
Trivia
    The ""shadows"" in the movie are really just actors in black morph suits.        See more  »
    "
"
Opening Weekend: £883,148
            (United Kingdom),
13 September 2009, Limited Release
","
Production Co:
 Ealing Studios, Alliance Films, Fragile Films 
See more »
      
"
"
Budget:£612,650
            (estimated)
","
Opening Weekend USA: $191,866,
26 July 2009, Limited Release
"
"
Opening Weekend USA: $73,837,
26 October 2007, Limited Release
","
Production Co:
 Capitol Films, Funky Buddha Productions, Unity Productions 
See more »
      
"
"
Budget:$80,000,000
            (estimated)
","
Gross USA: $65,955,630
        "
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Mono
"
"
Gross USA: $24,689,703
        ","
  Show more on
  IMDbPro »
  "
"
Production Co:
 Emmett/Furla/Oasis Films (EFO Films), Herrick Entertainment, Highland Film Group (HFG) 
See more »
      
","
Runtime:
90 min
"
"
Opening Weekend USA: $32,092,991,
17 February 2008, Wide Release
","
Cumulative Worldwide Gross: $222,231,186
        "
"
Opening Weekend USA: $17,031,345,
11 May 1997, Wide Release
","
Cumulative Worldwide Gross: $263,920,180, 10 July 2012
"
"
Opening Weekend USA: $38,018,
10 June 2012, Limited Release
","
Production Co:
 Redwave Films, 19 Entertainment, Protagonist Pictures 
See more »
      
"
"
Budget:$12,000,000
            (estimated)
","
Gross USA: $124,872,350
        "
"
Gross USA: $810,455
        ","
  Show more on
  IMDbPro »
  "
"
Runtime:
95 min
",0
"
Opening Weekend USA: $6,463,
6 November 2011, Limited Release
","
Cumulative Worldwide Gross: $4,360,000
        "
"
Runtime:
85 min
","
Trivia
    The Pirate Bay documentary began as a crowd-funded Kickstarter project in 2010, and was uploaded to all of the main torrenting websites (including The Pirate Bay) upon launch of the film.        See more  »
    "
"
Cumulative Worldwide Gross: $2,019,000
        ","
  Show more on
  IMDbPro »
  "
"
Cumulative Worldwide Gross: $7,886,848
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $26,004,851
        "
"
Budget:$15,000,000
            (estimated)
","
Gross USA: $43,022,524, 3 May 1998
"
"
Opening Weekend: €45,109
            (Italy),
25 May 2003
","
Gross USA: $7,876, 9 June 2017
"
"
Cumulative Worldwide Gross: $1,675,484, 10 February 2008
","
  Show more on
  IMDbPro »
  "
"
Budget:$100,000,000
            (estimated)
","
Gross USA: $35,053,660
        "
"
Opening Weekend: £166,174
            (United Kingdom),
4 October 1998, Limited Release
","
Gross USA: $30,082,699
        "
"
Opening Weekend USA: $461,179,
12 September 2014, Limited Release
","
Production Co:
 Atlas 3 Productions 
See more »
      
"
"
Opening Weekend USA: $10,272,000,
24 December 1978, Wide Release
","
Production Co:
 Warner Bros., The Malpaso Company 
See more »
      
"
"
Budget:$65,000
            (estimated)
","
Gross USA: $389,804, 18 February 2011
"
"
Opening Weekend: CNY 118,000,001
            (China),
3 October 2010
","
Gross USA: $459,836
        "
"
Budget:$25,000,000
            (estimated)
","
Gross USA: $16,973,715, 8 August 2014
"
"
  Show more on
  IMDbPro »
  ","
Color:
Color
"
"
Budget:$62,000,000
            (estimated)
","
Gross USA: $77,086,030, 13 August 2000
"
"
Production Co:
 Paramount Pictures 
See more »
      
","
Runtime:
97 min
"
"
Opening Weekend USA: $4,162,000,
12 July 1981, Limited Release
","
Cumulative Worldwide Gross: $50,000,000
        "
"
Production Co:
 Bess Movie, Pentagrama Films 
See more »
      
","
Runtime:
100 min
"
"
Opening Weekend USA: $7,154,890,
19 July 1987
","
Cumulative Worldwide Gross: $31,118,000
        "
"
Budget:$6,000,000
            (estimated)
","
Gross USA: $622,968, 14 February 2019
"
"
Budget:£6,000,000
            (estimated)
","
Opening Weekend USA: $27,932,
10 December 2000, Limited Release
"
"
Budget:$52,000,000
            (estimated)
","
Gross USA: $37,081,475
        "
"
Opening Weekend USA: $20,006,
17 October 2010, Limited Release
","
Production Co:
 Films en Stock, Egoli Tossell Film, Canal+ 
See more »
      
"
"
Opening Weekend USA: $3,845,000,
19 July 1996
","
Production Co:
 Columbia Pictures, Castle Rock Entertainment, Rio Dulce 
See more »
      
"
"
Gross USA: $2,744,253, 22 December 2002
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $35,063,
6 March 2011, Limited Release
","
Production Co:
 Paper Street Films, Tom Sawyer Entertainment, Back Lot Pictures 
See more »
      
"
"
Opening Weekend USA: $1,001,354,
3 July 2016, Limited Release
","
Cumulative Worldwide Gross: $8,993,222, 4 August 2016
"
"
Production Co:
 Atlantic Entertainment Group 
See more »
      
","
Runtime:
89 min
"
"
Budget:$55,000,000
            (estimated)
","
Gross USA: $166,244,045, 29 March 2001
"
"
Opening Weekend: €646,917
            (Spain),
17 December 2010, Limited Release
","
Gross USA: $40,029, 6 November 2011
"
"
Budget:$10,000,000
            (estimated)
","
Gross USA: $580,862
        "
"
Budget:$15,000,000
            (estimated)
","
Gross USA: $20,566,327, 26 June 2016
"
"
Production Co:
 Force Ten Productions Inc. 
See more »
      
","
Runtime:
107 min
"
"
Budget:$200,000,000
            (estimated)
","
Gross USA: $191,452,396
        "
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $36,661,504
        "
"
Budget:$100,000,000
            (estimated)
","
Gross USA: $85,067,486, 19 May 2017
"
"
Opening Weekend USA: $118,732,
28 November 2014, Limited Release
","
Production Co:
 Firsttake Entertainment, Caramel Film, Hobo Pictures India 
See more »
      
"
"
Budget:$25,000,000
            (estimated)
","
Gross USA: $18,872,522, 20 November 2011
"
"
Gross USA: $2,200,000, 31 December 1957
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $5,337,257,
2 September 2007, Wide Release
","
Production Co:
 Twentieth Century Fox, Hyde Park Entertainment, Baldwin Entertainment Group 
See more »
      
"
"
Budget:$150,000,000
            (estimated)
","
Gross USA: $63,150,991
        "
"
Budget:$15,000
            (estimated)
","
Gross USA: $107,918,810
        "
"
Budget:$26,000,000
            (estimated)
","
Gross USA: $109,449,237, 15 December 2005
"
"
Opening Weekend USA: $31,883,
13 July 2008, Limited Release
","
Production Co:
 Alliance, Astral Media, Buffalo Gal Pictures 
See more »
      
"
"
Budget:$15,000,000
            (estimated)
","
Production Co:
 Columbia Pictures, Fogwood, IndieProd Company Productions 
See more »
      
"
"
Budget:$28,000,000
            (estimated)
","
Gross USA: $119,519,402, 4 May 2006
"
"
Opening Weekend USA: $20,130,
13 May 2011, Limited Release
","
Cumulative Worldwide Gross: $7,743,923, 2 June 2011
"
"
Opening Weekend USA: $11,836,705,
19 October 2003, Wide Release
","
Cumulative Worldwide Gross: $80,154,140
        "
"
Gross USA: $4,491,986
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $8,633,585,
14 September 2003, Wide Release
","
Cumulative Worldwide Gross: $30,553,394
        "
"
Budget:$1,000,000
            (estimated)
","
Gross USA: $6,002,451, 14 March 2013
"
"
  Show more on
  IMDbPro »
  ","
Color:
Color
"
"
Opening Weekend USA: $6,357,877,
19 October 1986, Wide Release
","
Production Co:
 Touchstone Pictures, Silver Screen Partners II 
See more »
      
"
"
Opening Weekend USA: $10,108,333,
31 March 2002, Wide Release
","
Production Co:
 Paramount Pictures, Nickelodeon Movies, Valhalla Motion Pictures 
See more »
      
"
"
Budget:$100,000,000
            (estimated)
","
Gross USA: $274,092,705
        "
"
Opening Weekend USA: $9,107,816,
13 October 2002, Wide Release
","
Cumulative Worldwide Gross: $43,928,932
        "
"
Production Co:
 Warner Bros. 
See more »
      
","
Runtime:
115 min
|
100 min
            (re-cut)
    "
"
Budget:$11,800,000
            (estimated)
","
Gross USA: $12,711,491, 31 March 2016
"
"
Budget:€1,500,000
            (estimated)
","
Production Co:
 Castelao Producciones, Filmax, Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA) 
See more »
      
"
"
Budget:$72,000,000
            (estimated)
","
Gross USA: $62,658,220
        "
"
Budget:$225,000,000
            (estimated)
","
Gross USA: $141,621,490, 4 September 2008
"
"
Opening Weekend USA: $118,003,
15 July 2001, Limited Release
","
Production Co:
 Artisan Entertainment, Cardiff Giant Productions, Resnick Interactive Development 
See more »
      
"
"
Opening Weekend USA: $12,107,784,
15 October 1989
","
Cumulative Worldwide Gross: $296,999,813, 31 December 1990
"
"
Production Co:
 Warner Bros., Canal+, The Wolper Organization 
See more »
      
","
Runtime:
122 min
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby
"
